MICHELIN_NM,FCLTY_NM,RDNMADR_NM,FCLTY_LO,FCLTY_LA,HMPG_URL,TEL_NO,REPRSNT_MENU_NM,FOOD_SPND_PRICE
더플레이트미쉐린,류니끄,서울특별시 강남구 강남대로 162길 40,127.021599,37.520715,www.ryunique.co.kr,02-546-9279,창작,120000 - 230000?
빕구르망,현우동,서울특별시 강남구 논현로 149길 53,127.024317,37.517052,0,02-515-3622,우동,8000 - 14000
더플레이트미쉐린,미토우,서울특별시 강남구 논현로 151길 17 2층,127.026846,37.519984,0,02-7286-9914,일식,110000 - 130000
더플레이트미쉐린,쿠시카와,서울특별시 강남구 논현로 24길 37,127.045692,37.482735,0,02-579-0538,쿠시아게,80000 - 100000
1스타 미쉐린,에빗,서울특별시 강남구 도곡로 23길 33,127.038679,37.494392,www.restaurantevett.com,02-4231-1022,창작,65000 - 180000
더플레이트미쉐린,달식탁,서울특별시 강남구 도산대로 15길 11 지하 1층,127.023793,37.519057,0,02-511-9440,한식,10000 - 86000?
더플레이트미쉐린,하쿠시,서울특별시 강남구 도산대로 16길 6-10 지하 1층,127.023783,37.517228,0,02-6953-0313,스시,45000 - 150000
3스타 미쉐린,가온,서울특별시 강남구 도산대로 317 호림아트센터 M층,127.036348,37.522702,www.gaonkr.com,02-545-9845,한식,280000 - 300000
1스타 미쉐린,보트르메종,서울특별시 강남구 도산대로 420 2층,127.042055,37.52318,0,02-549-3800,프렌치,65000 - 150000
더플레이트미쉐린,볼피노,서울특별시 강남구 도산대로 45길,127.035955,37.523338,0,02-2249-1571,이탤리언,46000 - 131000
더플레이트미쉐린,우가,서울특별시 강남구 도산대로 49길 22 지하 1층,127.037367,37.524377,0,02-6272-2223,바비큐,48000 - 120000
빕구르망,소이연남마오,서울특별시 강남구 도산대로 53길 30,127.038918,37.525164,0,02-545-5130,타이,9000 - 39000
더플레이트미쉐린,레스쁘아뒤이부,서울특별시 강남구 도산대로 59길 16,127.042385,37.52476,0,02-517-6034,프렌치,55000 - 126000
더플레이트미쉐린,파스토,서울특별시 강남구 도산대로 62길 17,127.043096,37.522261,www.pasto.kr,02-515-6878,이탤리언,61000 - 125000
2스타 미쉐린,밍글스,서울특별시 강남구 도산대로 67길 19 2층,127.044165,37.525378,www.restaurant-mingles.com,02-515-7306,코리아 컨템퍼러리,90000 - 180000
1스타 미쉐린,라미띠에,서울특별시 강남구 도산대로 67길 30 2층,127.044587,37.525976,0,02-546-9621,프렌치,70000 - 150000
1스타 미쉐린,도사,서울특별시 강남구 도산대로 67길 7 지하 1층,127.04438,37.524497,www.dosaseoul.com,02-516-3672,창작,55000 - 145000
더플레이트미쉐린,쏠레이,서울특별시 강남구 도산대로 70길 9 2층,127.045269,37.523062,0,02-8010-5099,프렌치,59000 - 119000
더플레이트미쉐린,무니,서울특별시 강남구 도산대로 72길 16,127.045463,37.522929,0,02-511-1303,일식,59000 - 150000
더플레이트미쉐린,리스토란테에오,서울특별시 강남구 도산대로 75길 15 5층,127.045728,37.525202,0,02-3445-1926,이탤리언컨템퍼러리,55000 - 138000?
더플레이트미쉐린,슈밍화미코,서울특별시 강남구 도산대로 85길 14,127.04921,37.525437,0,02-3446-1227,재패니즈컨템퍼러리,9000 - 170000?
더플레이트미쉐린,시옷,서울특별시 강남구 도산대로 92길 42 지하 1층,127.049401,37.521996,0,02-547-0467,프렌치,99000 - 165000
1스타 미쉐린,익스퀴진,서울특별시 강남구 삼성로 140길 6,127.04965,37.521025,0,02-542-6921,창작,55000 - 110000
더플레이트미쉐린,외고집설렁탕,서울특별시 강남구 삼성로 555,127.053906,37.511022,0,02-567-5225,설렁탕,11000 - 65000
빕구르망,피양콩할마니,서울특별시 강남구 삼성로 81길 30,127.055248,37.504121,0,02-508-0476,두부,7500 - 40000
빕구르망,게방식당,서울특별시 강남구 선릉로 131길 17,127.039438,37.517284,0,02-8479-1107,게장,8000 - 38000
더플레이트미쉐린,더그린테이블,서울특별시 강남구 선릉로 155길 13 2층,127.038588,37.525342,www.thegreentable.co.kr,02-591-2672,프렌치컨템퍼러리,60000 - 250000
빕구르망,오통영,서울특별시 강남구 선릉로 158길 10 지하 1층,127.040849,37.52545,0,02-544-2377,한식,11000 - 68000
2스타 미쉐린,정식당,서울특별시 강남구 선릉로 158길 11,127.041095,37.525678,www.jungsik.kr,02-517-4654,코리아 컨템퍼러리,73000 - 220000
더플레이트미쉐린,비스트로드욘트빌,서울특별시 강남구 선릉로 158길 13-7,127.041237,37.526066,0,02-541-1550,프렌치,39000 - 128000
더플레이트미쉐린,봉밀가,서울특별시 강남구 선릉로 664,127.042329,37.515902,0,02-546-2305,냉면,8500 - 35000
더플레이트미쉐린,메종드라카테고리,서울특별시 강남구 선릉로 826,127.040203,37.525544,www.lacategorie.com,02-545-6640,프렌치,50000 - 100000
빕구르망,산동교자관,서울특별시 강남구 압구정로 214,127.030747,37.528008,0,02-514-2608,중식,7000 - 120000
빕구르망,만두집,서울특별시 강남구 압구정로 338,127.038883,37.52793,0,02-544-3710,만두,10000 - 60000
빕구르망,한일관,서울특별시 강남구 압구정로 38길 14,127.032504,37.527788,www.hanilkwan.co.kr,02-732-3735,한식,11000 - 66000
더플레이트미쉐린,구전동화,서울특별시 강남구 압구정로 46길 26 2층,127.036213,37.527061,0,02-2038-9961,바비큐,120000?
더플레이트미쉐린,옳음,서울특별시 강남구 압구정로 46길 51 2층,127.036044,37.525249,www.olheum.co.kr,02-549-2016,코리아 컨템퍼러리,65000 - 150000
2스타 미쉐린,코지마,서울특별시 강남구 압구정로 60길 21 분더샵 6층,127.041964,37.525847,0,02-2056-1291,스시,150000 - 380000
더플레이트미쉐린,볼트스테이크하우스,서울특별시 강남구 압구정로 72길 22 2층,127.044984,37.525015,www.vaultsteakhouse.co.kr,02-544-9235,스테이크,31000 - 150000?
2스타 미쉐린,권숙수,서울특별시 강남구 압구정로 80길 37 4층,127.043589,37.524382,www.kwonsooksoo.com,02-542-6268,한식,77000 - 195000
더플레이트미쉐린,고료리켄,서울특별시 강남구 언주로 152길 15-3 2층,127.034805,37.523022,0,02-511-7809,일식,180000
더플레이트미쉐린,텐쇼,서울특별시 강남구 언주로 152길 15-6 3층,127.034905,37.523203,0,02-512-8678,템푸라,70000 - 150000
2스타 미쉐린,임프레션,서울특별시 강남구 언주로 164길 24 5층,127.035487,37.525389,www.limpression.co.kr,02-6925-5522,창작,90000 - 180000
더플레이트미쉐린,파씨오네,서울특별시 강남구 언주로 164길 39 2층,127.036754,37.525462,www.ipassionne.com,02-546-7719,프렌치,45000 - 80000
더플레이트미쉐린,스시마이,서울특별시 강남구 언주로 168길 6 2층,127.033936,37.526349,www.sushimai.co.kr,02-6925-3126,스시,110000 - 300000
더플레이트미쉐린,하모,서울특별시 강남구 언주로 819 2층,127.032753,37.523348,www.hamo-kitchen.com,02-515-4266,한식,9000 - 50000
더플레이트미쉐린,삼원가든,서울특별시 강남구 언주로 835,127.032574,37.524995,www.samwongarden.com,02-548-3030,바비큐,11000 - 143000
더플레이트미쉐린,곰바위,서울특별시 강남구 영동대로 115길 10,127.058812,37.514872,www.gbw.co.kr,02-511-0068,바비큐,8000 - 88000
더플레이트미쉐린,라이프,서울특별시 강남구 영동대로 96길 26 9층,127.064833,37.510956,0,02-8715-1139,바비큐,250000
더플레이트미쉐린,하코네,서울특별시 강남구 테헤란로 521 그랜드 인터컨티넨탈 파르나스 호텔 1층,127.060806,37.509194,https://seoul.intercontinental.com,02-559-7623,일식,35000 - 280000
더플레이트미쉐린,보름쇠,서울특별시 강남구 테헤란로 81길 36,127.056642,37.509323,0,02-569-9967,바비큐,9000 - 88000
2스타 미쉐린,알라프리마,서울특별시 강남구 학동로 17길 13,127.02598,37.513498,0,02-511-2555,창작,77000 - 178000
빕구르망,진미평양냉면,서울특별시 강남구 학동로 305-3,127.036036,37.516157,0,02-515-3469,냉면,11000 - 80000
1스타 미쉐린,묘미,서울특별시 강남구 학동로 53길 20,127.04,37.518433,0,02-515-8088,코리아 컨템퍼러리,50000 - 140000
1스타 미쉐린,무오키,서울특별시 강남구 학동로 55길 12-12 2층,127.042244,37.519019,www.muoki.kr,02-2948-4171,창작,60000 - 135000
더플레이트미쉐린,톡톡,서울특별시 강남구 학동로 97길 41 3층,127.054294,37.522378,www.toctocseoul.com,02-3397-2215,유러피안컨템퍼러리,45000 - 147000
빕구르망,황금콩밭,서울특별시 마포구 굴레방로 1길 6,126.956579,37.554497,0,02-313-2952,두부,7000 - 65000
더플레이트미쉐린,랑빠스81,서울특별시 마포구 동교로 30길 17-1,126.925157,37.56027,0,02-7779-8181,프렌치,39000 - 61000
더플레이트미쉐린,진미식당,서울특별시 마포구 마포대로 186-6,126.955796,37.550607,0,02-3211-4468,게장,41000
더플레이트미쉐린,마포양지설렁탕,서울특별시 마포구 새창로 6,126.950483,37.54209,0,02-716-8616,설렁탕,10000 - 50000
더플레이트미쉐린,서교고메,서울특별시 마포구 월드컵로 14길 19,126.911476,37.556189,0,02-332-3626,한식,8000 - 54000?
더플레이트미쉐린,이치류,서울특별시 마포구 잔다리로 3안길 44,126.919161,37.550656,0,02-3144-1312,바비큐,24000 - 28000
빕구르망,마포옥,서울특별시 마포구 토정로 312 2층,126.94334,37.539882,www.mapook.com,02-716-6661,설렁탕,14000 - 55000
빕구르망,역전회관,서울특별시 마포구 토정로 37길 47,126.947008,37.542942,www.yukjeon.com,02-703-0019,불고기,9000 - 45000
더플레이트미쉐린,카덴,서울특별시 서대문구 연희로 173 2층,126.935056,37.572506,www.caden.co.kr,02-3142-6362,일식,20000 - 95000?
빕구르망,임병주산동칼국수,서울특별시 서초구 강남대로 37길 63,127.030008,37.48458,0,02-3473-7972,칼국수,9000 - 39000
빕구르망,백년옥,서울특별시 서초구 남부순환로 2407,127.013782,37.481202,0,02-523-2860,두부,10000 - 43000
빕구르망,양양메밀막국수,서울특별시 서초구 동광로 15길 10,126.988279,37.49252,0,02-3482-3738,메밀국수,8000 - 25000
더플레이트미쉐린,줄라이,서울특별시 서초구 동광로 164,126.999966,37.494719,www.julyrestaurant.com,02-534-9544,프렌치컨템퍼러리,59000 - 110000
더플레이트미쉐린,스시만,서울특별시 서초구 동광로 27길 3,126.994793,37.49417,0,02-533-0181,스시,50000 - 160000
더플레이트미쉐린,라모라,서울특별시 서초구 동광로 39길 50 2층,126.999695,37.497222,0,02-595-3997,이탤리언,70000 - 200000
더플레이트미쉐린,플라워차일드,서울특별시 서초구 동광로 95,126.992673,37.493738,www.flowerchildkorea.com,02-553-2574,창작,45000 - 95000
더플레이트미쉐린,도우룸,서울특별시 서초구 동광로 99 2층,126.99335,37.493843,www.soignerestaurantgroup.com,02-535-9386,이탤리언컨템퍼러리,49000 - 86000
더플레이트미쉐린,태번38,서울특별시 서초구 명달로 22길 12-12,127.004727,37.486172,0,02-522-3738,프렌치,38000 - 150000
1스타 미쉐린,스와니예,서울특별시 서초구 반포대로 39길 46 지하 1층,127.002012,37.498142,www.soignerestaurantgroup.com,02-3477-9386,창작,78000 - 158000
1스타 미쉐린,오프레,서울특별시 서초구 반포대로 4길 12,127.013377,37.481839,0,02-5025-3837,프렌치컨템퍼러리,60000 - 138000
빕구르망,봉산옥,서울특별시 서초구 반포대로 8길 5-6,127.012464,37.48339,0,02-525-2282,만두,8000 - 45000
1스타 미쉐린,테이블포포,서울특별시 서초구 사평대로 14길 11 2층,126.99444,37.497745,0,02-3478-0717,유러피안컨템퍼러리,55000 - 110000?
더플레이트미쉐린,타쿠미곤,서울특별시 서초구 사평대로 98 2층,126.99548,37.498654,0,02-595-1935,스시,120000 - 220000?
더플레이트미쉐린,쿤쏨차이,서울특별시 서초구 서초대로 53길 23,127.014319,37.4962,0,02-596-6411,타이,9000 - 77000
빕구르망,미나미,서울특별시 서초구 서초대로58길 31-2,127.018101,37.493285,http://instagram.com/chef_minami,02-522-0373,소바,17000 - 32000
더플레이트미쉐린,버드나무집,서울특별시 서초구 효령로 434,127.031251,37.489015,0,02-3473-4167,바비큐,12000 - 107000
빕구르망,목천집,서울특별시 서초구 효령로 52길 69,127.013418,37.481307,0,02-525-8418,칼국수,8000 - 43000
더플레이트미쉐린,본앤브레드,서울특별시 성동구 마장로 42길 1 2층,127.044507,37.566802,0,02-2294-5005,바비큐,30000 - 116000
더플레이트미쉐린,렁팡스,서울특별시 성동구 연무장길 106,127.060671,37.540747,www.lenfance.net,02-465-7117,프렌치,14000 - 68000
빕구르망,팩피,서울특별시 성동구 왕십리로 136,127.044556,37.549682,0,02-6052-7595,이탤리언컨템퍼러리,20000 - 35000
빕구르망,봉피양,서울특별시 송파구 양재대로 71길 1-4,127.126185,37.510002,www.bjgalbi.com,02-415-5527,냉면,13000 - 60000
더플레이트미쉐린,벽제갈비,서울특별시 송파구 양재대로 71길 1-4,127.126185,37.510002,www.bjgalbi.com,02-415-5522,바비큐,13000 - 300000
1스타 미쉐린,비채나,서울특별시 송파구 올림픽로 300 롯데월드 타워 81층,127.102605,37.513528,www.bicena.com,02-3213-1260,한식,77000 - 210000
1스타 미쉐린,스테이,서울특별시 송파구 올림픽로 300 롯데월드 타워 81층,127.102605,37.513528,www.lottehotel.com/seoul-signiel,02-3213-1231,프렌치컨템퍼러리,73000 - 248000
1스타 미쉐린,곳간,서울특별시 영등포구 여의대로 24 전경련 회관 50층,126.920377,37.52205,www.theskyfarm.co.kr,02-2055-4447,한식,150000 - 300000
빕구르망,세미계,서울특별시 용산구 대사관로 34,127.001836,37.533435,0,02-792-2155,바비큐,9000 - 19000
빕구르망,일호식,서울특별시 용산구 대사관로 35,127.001987,37.533968,0,02-794-2648,한식,11000 - 59000
더플레이트미쉐린,쥬에,서울특별시 용산구 독서당로 124-7,127.012803,37.5375,0,02-798-9700,중식,49000 - 180000
빕구르망,구복만두,서울특별시 용산구 두텁바위로 10,126.973175,37.545083,0,02-797-8656,만두,5000 - 10000
1스타 미쉐린,품,서울특별시 용산구 두텁바위로 60길 49 대원정사 별관 3층,126.983511,37.548911,www.poomseoul.com,02-777-9007,한식,80850 - 231000
더플레이트미쉐린,텅앤그루브조인트,서울특별시 용산구 보광로 60길 7,126.994541,37.534103,0,02-790-7036,바비큐,15000 - 51000
더플레이트미쉐린,스테이크하우스,서울특별시 용산구 소월로 322 그랜드 하얏트 호텔 지하 1층,126.997061,37.539359,http://seoul.grand.hyatt.com,02-799-8273,스테이크,70000 - 200000
더플레이트미쉐린,테판,서울특별시 용산구 소월로 322 그랜드 하얏트 호텔 지하 1층,126.997061,37.539359,http://seoul.grand.hyatt.com,02-799-8272,테판야키,90000 - 175000
더플레이트미쉐린,꼼모아,서울특별시 용산구 신흥로 56,126.987704,37.543523,0,02-6217-5252,프렌치,54000 - 100000
더플레이트미쉐린,오만지아,서울특별시 용산구 유엔 빌리지길 14,126.990193,37.532615,0,02-749-2900,이탤리언,52000 - 180000
빕구르망,교양식사,서울특별시 용산구 이태원로 238,126.999913,37.535923,0,02-795-4040,바비큐,26000 - 28000
빕구르망,어메이징타이,서울특별시 용산구 이태원로 238 3층,126.999913,37.535923,0,02-796-7377,타이,24000 - 46000
더플레이트미쉐린,미쉬매쉬,서울특별시 용산구 이태원로 55가길 21,127.000267,37.537395,www.mishmashkorea.com,02-6465-2211,코리아 컨템퍼러리,14000 - 68000
빕구르망,우육미엔,서울특별시 용산구 이태원로 55가길 26-8,126.999903,37.537527,0,02-798-5556,타이완,6500 - 16000
2스타 미쉐린,모수,서울특별시 용산구 이태원로 55가길 45,126.999397,37.536496,www.mosuseoul.com,02-793-5995,창작,120000 - 240000
더플레이트미쉐린,소설한남,서울특별시 용산구 한남대로 20길 21-18 지하1층,127.00911,37.535226,0,02-797-5995,한식,70000 - 130000
더플레이트미쉐린,레드문,서울특별시 용산구 한남대로 20길 41-4 지하1층,127.00952,37.535022,0,02-8865-3112,차이나컨템퍼러리,43000 - 65000
더플레이트미쉐린,오스테리아오르조,서울특별시 용산구 한남대로 20길 47 2층,127.009488,37.534905,0,02-322-0801,이탤리언,4000 - 74000
더플레이트미쉐린,그랑아무르,서울특별시 용산구 한남대로 20길 47-24 리플레이스 D동 지하 1층,127.010059,37.535378,0,02-790-0814,프렌치,42000 - 152000
더플레이트미쉐린,라쿠치나,서울특별시 용산구 회나무로 44길 10,126.996457,37.540543,www.la-cucina.co.kr,02-794-6005,이탤리언,40000 - 180000
더플레이트미쉐린,두레유,서울특별시 종로구 북촌로 65,126.984908,37.582757,www.dooreyoo.com,02-743-2468,한식,25000 - 250000?
1스타 미쉐린,떼레노,서울특별시 종로구 북촌로 71 2층,126.984787,37.583324,www.terreno.co.kr,02-332-5525,스패니시,49000 - 135000
더플레이트미쉐린,주반,서울특별시 종로구 사직로 9가길 12,126.968845,37.576833,0,02-3210-3737,아시안,14000 - 55000
1스타 미쉐린,유유안,서울특별시 종로구 새문안로 97 포시즌스 호텔 11층,126.975416,37.570701,www.fourseasons.com/seoul,02-6388-5500,중식,8000 - 280000
더플레이트미쉐린,이태리재,서울특별시 종로구 율곡로 1길 74-9,126.981724,37.578801,0,02-4233-6262,이탤리언,34000 - 93000
1스타 미쉐린,한식공간,서울특별시 종로구 율곡로 83번지 아라리오 스페이스 4층,126.988441,37.577697,0,02-747-8104,한식,60000 - 120000
빕구르망,부촌육회,서울특별시 종로구 종로 200-12,126.999872,37.570388,www.bcyukhoe.modoo.at,02-2267-1831,육회,13000 - 28000
1스타 미쉐린,온지음,서울특별시 종로구 효자로 49 4층,126.973391,37.580504,0,02-4816-6615,한식,110000 - 176000
더플레이트미쉐린,크리스탈제이드,서울특별시 중구 남대문로 7길 16 지하 1층,126.981053,37.564073,www.crystaljade.com,02-3789-8088,중식,30000 - 150000
빕구르망,금돼지식당,서울특별시 중구 다산로 149,127.011662,37.557098,0,02-2231-0561,바비큐,8000 - 17000?
더플레이트미쉐린,브레라,서울특별시 중구 동호로 17길 295 2층,127.006956,37.548381,www.brera.kr,02-2236-0770,이탤리언,35000 - 55000
3스타 미쉐린,라연,서울특별시 중구 동호로 249 신라호텔 23층,127.005789,37.557832,www.shillahotels.com,02-2230-3367,한식,108000 - 270000
더플레이트미쉐린,콘티넨탈,서울특별시 중구 동호로 249 신라호텔 23층,127.005789,37.557832,www.shillahotels.com,02-2230-3369,프렌치,97000 - 336000
더플레이트미쉐린,서울다이닝,서울특별시 중구 동호로 272 웰콤시티 2층,127.003619,37.559274,www.seoul-dining.com,02-6325-6321,코리아 컨템퍼러리,49000 - 88000
더플레이트미쉐린,홍보각,서울특별시 중구 동호로 287 그랜드 앰버서더 풀만 호텔 2층,127.00228,37.560416,www.grand.ambatel.com/seoul,02-2270-3141,중식,17000 - 330000?
빕구르망,오장동함흥냉면,서울특별시 중구 마른내로 108,126.999897,37.564279,0,02-2267-9500,냉면,11000 - 20000
빕구르망,명동교자,서울특별시 중구 명동 10길 29,126.985748,37.562572,www.mdkj.co.kr,02-776-5348,칼국수,9000 - 10000
빕구르망,하동관,서울특별시 중구 명동 9길 12,126.985044,37.564431,www.hadongkwan.com,02-776-5656,곰탕,13000 - 50000
더플레이트미쉐린,고려삼계탕,서울특별시 중구 서소문로 11길 1,126.972918,37.563011,www.krsamgye-tang.com,02-752-9376,볼고기,16000 - 34000
빕구르망,만족오향졸발,서울특별시 중구 서소문로 134-7,126.976027,37.563263,www.manjok.net,02-753-4755,족발,6000 - 53000
빕구르망,유림면,서울특별시 중구 서소문로 139-1,126.976082,37.564219,0,02-755-0659,메밀국수,9000 - 10000
더플레이트미쉐린,나인스게이트,서울특별시 중구 소공로 106 웨스틴 조선 호텔 1층,126.980164,37.564498,www.echosunhotel.com,02-317-0366,프렌치,55000 - 213000
더플레이트미쉐린,홍연,서울특별시 중구 소공로 106 웨스틴 조선 호텔 1층,126.980164,37.564498,www.echosunhotel.com,02-317-0494,중식,80000 - 385000
더플레이트미쉐린,스시조,서울특별시 중구 소공로 106 웨스틴 조선 호텔 20층,126.980164,37.564498,www.echosunhotel.com,02-317-0373,일식,40000 - 320000
1스타 미쉐린,주옥,서울특별시 중구 소공로 119 더 플라자호텔 3층,126.978136,37.56466,0,02-518-9393,코리아 컨템퍼러리,70000 - 140000
빕구르망,금산제면소,서울특별시 중구 소공로 6길 13,126.983719,37.558608,0,0,탄탄면,12000
1스타 미쉐린,피에르가니에르,서울특별시 중구 을지로 30 롯데호텔 35층,126.980921,37.564657,www.pierregagnaire.co.kr,02-317-7181,프렌치컨템퍼러리,75000 - 340000
더플레이트미쉐린,도림,서울특별시 중구 을지로 30 롯데호텔 37층,126.980921,37.564657,www.lottehotel.com/seoul,02-317-7101,중식,42000 - 400000
더플레이트미쉐린,모모야마,서울특별시 중구 을지로 30 롯데호텔 38층,126.980921,37.564657,www.lottehotel.com/seoul,02-317-7031,일식,30000 - 350000
더플레이트미쉐린,무궁화,서울특별시 중구 을지로 30 롯데호텔 38층,126.980921,37.564657,www.lottehotel.com/seoul,02-317-7061,한식,73000 - 230000
빕구르망,남포면옥,서울특별시 중구 을지로 3길 24,126.981791,37.567215,0,02-777-3131,냉면,10000 - 85000
빕구르망,이나니와요스케,서울특별시 중구 을지로 6,126.979213,37.565381,0,02-772-9994,우동,8000 - 70000
더플레이트미쉐린,평양면옥,서울특별시 중구 장충단로 207,127.006544,37.563173,0,02-2267-7784,냉면,12000 - 90000
빕구르망,우래옥,서울특별시 중구 창경궁로 62-29,126.998723,37.568224,0,02-2265-0151,냉면,12000 - 59000
빕구르망,충무로쭈꾸미불고기,서울특별시 중구 퇴계로 31길 11,126.992211,37.561772,0,02-2279-0803,바비큐,28000 - 35000
더플레이트미쉐린,라망시크레,서울특별시 중구 퇴계로 67 레스케이프 호텔 26층,126.979503,37.559851,www.lescapehotel.com,02-317-4003,유러피안컨템퍼러리,55000 - 150000
더플레이트미쉐린,팔레드신,서울특별시 중구 퇴계로 67 레스케이프 호텔 6층,126.979503,37.559851,www.lescapehotel.com,02-317-4001,중식,60000 - 150000
1스타 미쉐린,제로컴플렉스,서울특별시 중구 퇴계로 6가길 30 3층,126.978041,37.55673,0,02-532-0876,창작,70000 - 130000?
서울2021,가온,서울특별시 강남구 신사동,127.026502,37.52381,0,0,한식,
서울2021,라연,서울특별시 중구 장충동2가,127.000587,37.554995,0,0,한식,
서울2021,권숙수,서울특별시 강남구 청담동,127.050467,37.524402,0,0,한식,
서울2021,모수,서울특별시 용산구 한남동,127.005176,37.537545,0,0,이노베이트브,
서울2021,밍글스,서울특별시 강남구 청담동,127.050467,37.524402,0,0,컨템퍼러리,
서울2021,알라프리마,서울특별시 강남구 논현동,127.031713,37.51368,0,0,이노베이트브,
서울2021,임프레션,서울특별시 강남구 신사동,127.026502,37.52381,0,0,컨템퍼러리,
서울2021,정식당,서울특별시 강남구 청담동,127.050467,37.524402,0,0,컨템퍼러리,
서울2021,코지마,서울특별시 강남구 청담동,127.050467,37.524402,0,0,스시,
서울2021,라망시크레,서울특별시 중구 회현동,126.97938,37.557291,0,0,컨템퍼러리,
서울2021,무니,서울특별시 강남구 청담동,127.050467,37.524402,0,0,일식,
서울2021,미토우,서울특별시 강남구 신사동,127.026502,37.52381,0,0,일식,
서울2021,세븐스도어,서울특별시 강남구 청담동,127.050467,37.524402,0,0,컨템퍼러리,
서울2021,떼레노,서울특별시 종로구 가회동,126.984841,37.582685,0,0,스패니시,
서울2021,라미띠에,서울특별시 강남구 청담동,127.050467,37.524402,0,0,프렌치,
서울2021,묘미,서울특별시 강남구 논현동,127.031713,37.51368,0,0,이노베이트브,
서울2021,무오키,서울특별시 강남구 청담동,127.050467,37.524402,0,0,컨템퍼러리,
서울2021,브트르메종,서울특별시 강남구 청담동,127.050467,37.524402,0,0,프렌치,
서울2021,비채나,서울특별시 송파구 신천동,127.098973,37.523926,0,0,한식,
서울2021,스와니예,서울특별시 서초구 반포동,127.000758,37.50397,0,0,이노베이트브,
서울2021,스테이,서울특별시 송파구 신천동,127.098973,37.523926,0,0,프렌치,
서울2021,에빗,서울특별시 강남구 역삼동,127.03855,37.500085,0,0,이노베이트브,
서울2021,오프레,서울특별시 서초구 서초동,127.016797,37.488382,0,0,프렌치,
서울2021,은지음,서울특별시 종로구 창성동,126.972473,37.580568,0,0,한식,
서울2021,유유안,서울특별시 종로구 당주동,126.974011,37.571589,0,0,중식,
서울2021,익스퀴진,서울특별시 강남두 청담동,127.047378,37.51734,0,0,컨템퍼러리,
서울2021,제로콤플렉스,서울특별시 중구 남창동,126.977615,37.558087,0,0,이노베이트브,
서울2021,주옥,서울특별시 중구 태평로2가,126.99747,37.563763,0,0,한식,
서울2021,테이블포포,서울특별시 서초구 반포동,127.000758,37.50397,0,0,컨템퍼러리,
서울2021,폼,서울특별시 용산구 후암동,126.980623,37.549905,0,0,한식,
서울2021,피에르가니에르,서울특별시 중구 소공동,126.980057,37.564082,0,0,프렌치,
서울2021,한식공간,서울특별시 종로구 원서동,126.988255,37.58393,0,0,한신,
그린스타,"꽃,밥에피다",서울특별시 종로구 관훈동,126.984674,,0,0,한식,
그린스타,황금콩밭,서울특별시 마포구 아현동,126.956319,37.554477,0,0,두부,
빕구르망,필동면옥,서울 중구 서애로 26,126.9969996,37.5603604,0,02-2266-2611,냉면,13000
빕구르망,멘텐,서울 중구 삼일대로 305 동북빌딩1층,126.9885965,37.5619628,0,0,라멘,10500
1스타 미쉐린,솔밤,서울 강남구 도산대로37길 6 4층,127.0316861,37.521378,0,0507-1385-7308,컨템퍼러리,180000
1스타 미쉐린,윤서울,서울 마포구 홍익로2길 31 1층,126.9241172,37.5549964,0,0507-1350-3323,한식,85000
1스타 미쉐린,소울,서울 용산구 신흥로26길 35 바나힐 지하1층 소울,126.9844339,37.5453354,0,0507-1335-7685,컨템퍼러리,99000